"","RMSE","MAE","R2","MAPE"
"Linear_Regression",8.1149042389596,6.17742863444701,0.90864068375377,15.9821296271032
"Decision_Tree",10.3844773587305,8.04081902574837,0.850447614290544,20.5866967823818
"Random_Forest",5.41003598762245,3.74178960434359,0.959398230912164,9.19824781099557
"Gradient_Boosting",5.64346910531644,4.09559122947972,0.955826978017216,10.2932275780667
"Support_Vector_Regression",6.50659654872015,4.43477921661562,0.941305640983028,11.168900612752
